id;placed_date;status;code;invoice_id;customer_id
1;2019-10-23T02:43:59;COMPLETED;Brunei Darussalam interface;compress lavender Investment Account;1
2;2019-10-23T07:33:42;COMPLETED;Frozen Analyst card;redundant;2
3;2019-10-23T03:06:36;CANCELLED;Chips;navigating;3
4;2019-10-22T16:54:24;PENDING;Optimized;microchip;4
5;2019-10-22T17:45:55;PENDING;e-markets system;Organic;5
6;2019-10-23T01:04:00;COMPLETED;leading-edge;Ergonomic Steel Gloves;6
7;2019-10-22T13:04:45;CANCELLED;online e-business;systems integrate;7
8;2019-10-22T18:49:47;COMPLETED;Cambridgeshire Norfolk Island;Soap Tasty Metal Sausages Outdoors;8
9;2019-10-22T19:33:05;COMPLETED;North Carolina Granite;Somalia Web revolutionize;9
10;2019-10-22T10:32:30;CANCELLED;yellow;Books Generic;10
